name,code,subcategory_name,subcategory_code
Arts & Entertainment,arts,Arcades,arcades
Arts & Entertainment,arts,Art Galleries,galleries
Arts & Entertainment,arts,Bingo Halls,bingo
Arts & Entertainment,arts,Botanical Gardens,gardens
Arts & Entertainment,arts,Cabaret,cabaret
Arts & Entertainment,arts,Casinos,casinos
Arts & Entertainment,arts,Cinema,movietheaters
Arts & Entertainment,arts,Country Clubs,countryclubs
Arts & Entertainment,arts,Cultural Center,culturalcenter
Arts & Entertainment,arts,Festivals,festivals
Arts & Entertainment,arts,Jazz & Blues,jazzandblues
Arts & Entertainment,arts,Museums,museums
Arts & Entertainment,arts,Music Venues,musicvenues
Arts & Entertainment,arts,Observatories,observatories
Arts & Entertainment,arts,Opera & Ballet,opera
Arts & Entertainment,arts,Paint & Sip,paintandsip
Arts & Entertainment,arts,Performing Arts,theater
Arts & Entertainment,arts,Planetarium,planetarium
Arts & Entertainment,arts,Professional Sports Teams,sportsteams
Arts & Entertainment,arts,Psychics & Astrologers,psychic_astrology
Arts & Entertainment,arts,Race Tracks,racetracks
Arts & Entertainment,arts,Social Clubs,social_clubs
Arts & Entertainment,arts,Stadiums & Arenas,stadiumsarenas
Arts & Entertainment,arts,Ticket Sales,ticketsales
Arts & Entertainment,arts,Wineries,wineries
